================================================================================
INDIAN SIGN LANGUAGE MODEL EVALUATION REPORT
================================================================================

Model: trained_20260225_215841
Evaluation Date: 2026-02-27 20:05:34
Number of Classes: 43

================================================================================
OVERALL METRICS
================================================================================
Accuracy:      3.10%
Top-3 Accuracy: 7.80%
Top-5 Accuracy: 12.80%
Macro F1:       0.27%
Weighted F1:    0.32%

================================================================================
PER-CLASS PERFORMANCE
================================================================================
Class                Precision    Recall       F1-Score     Support   
--------------------------------------------------------------------------------
0                      0.00%       0.00%       0.00%         19
1                      0.00%       0.00%       0.00%         18
2                      0.00%       0.00%       0.00%         20
3                      0.00%       0.00%       0.00%         25
4                      0.00%       0.00%       0.00%         24
5                      0.00%       0.00%       0.00%         12
6                      0.00%       0.00%       0.00%         20
7                      0.00%       0.00%       0.00%         27
8                      0.00%       0.00%       0.00%         13
9                      0.00%       0.00%       0.00%         27
A                      3.11%      51.61%       5.86%         31
B                      0.00%       0.00%       0.00%         15
C                      0.00%       0.00%       0.00%         24
D                      0.00%       0.00%       0.00%         27
E                      0.00%       0.00%       0.00%         29
F                      0.00%       0.00%       0.00%         34
G                      0.00%       0.00%       0.00%         24
H                      3.09%      65.22%       5.91%         23
Hello                  0.00%       0.00%       0.00%         21
I                      0.00%       0.00%       0.00%         27
India                  0.00%       0.00%       0.00%         25
J                      0.00%       0.00%       0.00%         19
K                      0.00%       0.00%       0.00%         22
L                      0.00%       0.00%       0.00%         25
M                      0.00%       0.00%       0.00%         22
N                      0.00%       0.00%       0.00%         29
Namaste                0.00%       0.00%       0.00%         23
No                     0.00%       0.00%       0.00%         28
O                      0.00%       0.00%       0.00%         25
P                      0.00%       0.00%       0.00%         24
Please                 0.00%       0.00%       0.00%         23
Q                      0.00%       0.00%       0.00%         22
R                      0.00%       0.00%       0.00%         22
S                      0.00%       0.00%       0.00%         27
T                      0.00%       0.00%       0.00%         20
Thank_You              0.00%       0.00%       0.00%         21
U                      0.00%       0.00%       0.00%         25
V                      0.00%       0.00%       0.00%         17
W                      0.00%       0.00%       0.00%         24
X                      0.00%       0.00%       0.00%         30
Y                      0.00%       0.00%       0.00%         20
Yes                    0.00%       0.00%       0.00%         24
Z                      0.00%       0.00%       0.00%         23
--------------------------------------------------------------------------------
Macro AVG              0.14%       2.72%       0.27%          -
Weighted AVG           0.17%       3.10%       0.32%          -
